year,Gender,count,total,share
1998.0,Female,277,1026,0.2699805068226121
1998.0,Male,705,1026,0.6871345029239766
1998.0,Unknown,44,1026,0.042884990253411304
1999.0,Female,508,923,0.5503791982665223
1999.0,Male,384,923,0.4160346695557963
1999.0,Unknown,31,923,0.03358613217768147
2000.0,Female,378,1159,0.3261432269197584
2000.0,Male,719,1159,0.6203623813632442
2000.0,Unknown,62,1159,0.05349439171699741
2001.0,Female,368,1221,0.3013923013923014
2001.0,Male,817,1221,0.6691236691236692
2001.0,Unknown,36,1221,0.029484029484029485
2002.0,Female,490,1282,0.38221528861154447
2002.0,Male,744,1282,0.5803432137285491
2002.0,Unknown,48,1282,0.0374414976599064
2003.0,Female,428,1451,0.2949689869055824
2003.0,Male,956,1451,0.658855961405927
2003.0,Unknown,67,1451,0.0461750516884907
2004.0,Female,488,1182,0.4128595600676819
2004.0,Male,653,1182,0.5524534686971235
2004.0,Unknown,41,1182,0.03468697123519458
2005.0,Female,247,829,0.29794933655006034
2005.0,Male,535,829,0.6453558504221955
2005.0,Unknown,47,829,0.05669481302774427
2006.0,Female,294,773,0.38033635187580855
2006.0,Male,448,773,0.5795601552393272
2006.0,Unknown,31,773,0.040103492884864166
2007.0,Female,338,736,0.4592391304347826
2007.0,Male,373,736,0.5067934782608695
2007.0,Unknown,25,736,0.033967391304347824
2008.0,Female,211,867,0.2433679354094579
2008.0,Male,636,867,0.7335640138408305
2008.0,Unknown,20,867,0.02306805074971165
2009.0,Female,225,625,0.36
2009.0,Male,324,625,0.5184
2009.0,Unknown,76,625,0.1216
2010.0,Female,171,506,0.33794466403162055
2010.0,Male,294,506,0.5810276679841897
2010.0,Unknown,41,506,0.08102766798418973
2011.0,Female,159,545,0.29174311926605506
2011.0,Male,357,545,0.655045871559633
2011.0,Unknown,29,545,0.05321100917431193
2012.0,Female,145,492,0.29471544715447157
2012.0,Male,316,492,0.6422764227642277
2012.0,Unknown,31,492,0.06300813008130081
2013.0,Female,104,430,0.24186046511627907
2013.0,Male,310,430,0.7209302325581395
2013.0,Unknown,16,430,0.037209302325581395
2014.0,Female,53,229,0.2314410480349345
2014.0,Male,157,229,0.6855895196506551
2014.0,Unknown,19,229,0.08296943231441048
2015.0,Female,108,210,0.5142857142857142
2015.0,Male,89,210,0.4238095238095238
2015.0,Unknown,13,210,0.06190476190476191
2016.0,Female,6,40,0.15
2016.0,Male,27,40,0.675
2016.0,Unknown,7,40,0.175
2017.0,Female,2,2,1.0
